City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,La Encarnacion,HN,71.82,overcast clouds,14.6667,-89.0833,Coliseo municipal
390,Lianzhou,CN,71.4,few clouds,24.7811,112.3825,Qingcheng Tourism Industry
394,Griffith,US,87.73,clear sky,41.5284,-87.4237,Apartment above Depot Bar
395,Pahrump,US,86.05,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
397,Pyinmana,MM,73.65,scattered clouds,19.7333,96.2167,Anh Mai Daung
398,Tabas,IR,80.65,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
400,Manzanillo,CU,88.52,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
401,Kattivakkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
403,Tambun,ID,80.49,broken clouds,-6.2641,107.0712,Metland Hotel Bekasi
404,Numan,NG,75.58,broken clouds,9.4667,12.0333,Zangun Motel
406,Ranot,TH,80.29,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
409,Nalut,LY,83.52,clear sky,30.3333,10.85,
410,Broome,US,79.47,scattered clouds,42.2506,-75.833,Chenango Valley State Park
411,Murgab,TM,74.3,clear sky,37.4966,61.9714,Wepa Nurlyýew
414,Aksu,CN,72.36,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
420,Tha Chang,TH,75.24,broken clouds,9.2642,99.1922,สุริยาค้าไม้
421,Merauke,ID,77.45,overcast clouds,-8.4667,140.3333,
422,Beloha,MG,73.0,clear sky,-25.1667,45.05,
427,Port Angeles,US,77.54,clear sky,48.1181,-123.4307,Red Lion Hotel Port Angeles Harbor
428,Fort Abbas,PK,88.5,clear sky,29.1925,72.8536,AsAd's House
431,San Miguel,SV,77.32,overcast clouds,13.4833,-88.1833,Excalibur
435,Marzuq,YE,80.85,overcast clouds,14.4,46.4667,حيد القفلة
437,Pathein,MM,76.78,overcast clouds,16.7833,94.7333,Pathein Hotel
439,Bani Walid,LY,74.08,clear sky,31.7566,13.9942,نيك بلاش
443,Balabac,PH,80.92,light rain,7.9868,117.0645,Batalla’s Lodging House
445,Samarai,PG,78.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
447,Ambunti,PG,72.25,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
448,Sampit,ID,73.71,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
449,Destin,US,94.12,clear sky,30.3935,-86.4958,Wingate by Wyndham Destin
450,Lagoa,PT,73.78,scattered clouds,39.05,-27.9833,Casa Das Faias
451,Gouyave,GD,80.35,overcast clouds,12.1646,-61.7296,Rumboat Retreat
452,Cockburn Town,TC,83.34,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
453,Sadat,IN,78.75,clear sky,25.6833,83.2833,Tuntun Niwas
454,Carutapera,BR,80.38,few clouds,-1.195,-46.02,Lidera
457,Gemena,CD,70.56,overcast clouds,3.25,19.7667,Hôtel Goshen
459,Qandala,SO,88.99,broken clouds,11.472,49.8728,
460,Kontagora,NG,73.0,moderate rain,10.3999,5.4695,Queens Guest Inn
462,La Asuncion,VE,81.9,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
464,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
465,Bud,US,92.62,clear sky,39.447,-86.1758,Ted McQuinn Trust
468,Chibombo,ZM,76.48,clear sky,-14.6569,28.0706,Chibombo District Council Guest House
470,Esmeraldas,BR,81.46,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
472,Akhmim,EG,81.77,clear sky,26.5622,31.745,برج الماسة السكني
474,Sao Gabriel Da Cachoeira,BR,89.47,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
475,Ponta Delgada,PT,78.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
478,Vanimo,PG,76.62,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
479,Santa Cruz,BO,85.46,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
480,Half Moon Bay,US,75.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
481,Rafsanjan,IR,75.94,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
484,Chihuahua,MX,84.2,scattered clouds,28.5,-106.0,
485,North Bend,US,70.25,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
488,Bengkulu,ID,73.94,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
489,Jeremie,HT,84.67,broken clouds,18.65,-74.1167,Auberge’Inn
490,Nago,JP,73.45,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
491,Buzmeyin,TM,78.85,clear sky,38.0507,58.2056,
492,Pendleton,US,71.83,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
493,Bousso,TD,76.39,broken clouds,10.4795,16.7117,
494,Innisfail,AU,71.89,overcast clouds,-17.5333,146.0333,Moondarra Motel
496,Caravelas,BR,74.28,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
497,Sapa,PH,80.71,overcast clouds,5.1544,120.3241,
498,Lazaro Cardenas,MX,82.78,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
499,Kieta,PG,77.16,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
503,Alamos,MX,92.79,clear sky,27.0167,-108.9333,Luz del Sol
504,Sibolga,ID,72.66,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
506,Abu Kamal,SY,83.55,clear sky,34.4506,40.9171,البوكمال
514,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
518,Dakoro,NE,92.16,broken clouds,14.5106,6.765,Shagon mai liverpool
521,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
524,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
527,Patan,NP,70.18,broken clouds,27.6667,85.3333,Hotel Himalaya
529,Vila Franca Do Campo,PT,78.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
530,Kapoeta,SS,81.79,scattered clouds,4.7717,33.5903,Eastgate Hotel
531,Zemio,CF,70.39,light rain,5.0314,25.1361,OCHA Office
533,Pueblo,US,70.56,overcast clouds,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
534,Kandi,BJ,74.57,broken clouds,11.1342,2.9386,Hébergement de la Poste
536,Sao Felix Do Xingu,BR,88.81,broken clouds,-6.6447,-51.995,Rio Xingu Camping
537,Laguna,US,79.09,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
540,Juybar,IR,71.76,clear sky,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
541,Lixourion,GR,70.57,broken clouds,38.2019,20.4314,Hotel Summery
544,Dhidhdhoo,MV,81.36,clear sky,6.8833,73.1,Dhidhoo beach
545,Pundaguitan,PH,82.76,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
547,Bheramara,BD,77.65,scattered clouds,24.0232,88.9925,Govt Guest House (Dac Banglo)
548,Carupano,VE,81.43,overcast clouds,10.6678,-63.2585,Hotel La dorada
550,Ambilobe,MG,72.99,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
553,Bandarbeyla,SO,77.74,broken clouds,9.4942,50.8122,JABIR HOTEL
556,Moranbah,AU,70.84,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
