City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Hithadhoo,MV,-0.6,73.0833,81.36,74,34,6.26,scattered clouds
122,Canton,CN,23.1167,113.25,80.55,73,52,2.24,broken clouds
123,Flin Flon,CA,54.7682,-101.865,49.84,66,75,10.36,broken clouds
124,San Patricio,US,28.017,-97.5169,93.18,43,0,12.35,clear sky
125,Tanout,NE,14.9709,8.8879,90.34,27,67,5.46,broken clouds
126,Kupang,ID,-10.1667,123.5833,77.2,84,46,6.13,scattered clouds
127,Dzaoudzi,YT,-12.7887,45.2699,71.49,88,0,3.44,clear sky
128,Cururupu,BR,-1.8283,-44.8683,77.9,79,28,5.61,scattered clouds
129,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,100,18.41,overcast clouds
130,Sakaiminato,JP,35.55,133.2333,58.98,94,75,4.61,broken clouds
131,Yangambi,CD,0.8102,24.4336,70.41,84,98,2.19,overcast clouds
132,Peterhead,GB,57.5058,-1.7981,59.5,80,100,21.09,overcast clouds
133,Dikson,RU,73.5069,80.5464,29.53,78,100,30.82,overcast clouds
134,Tommot,RU,58.9564,126.2925,29.17,89,93,0.89,overcast clouds
135,Tagusao,PH,9.1924,117.8141,78.82,84,100,5.21,overcast clouds
136,Chuy,UY,-33.6971,-53.4616,53.15,74,100,7.27,overcast clouds
137,Turkistan,KZ,43.0,68.0,70.29,21,0,6.08,clear sky
138,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,73,13.0,broken clouds
139,Kysyl-Syr,RU,63.8986,122.7617,25.97,89,48,8.25,scattered clouds
140,Vao,NC,-22.6667,167.4833,71.85,75,100,12.57,overcast clouds
141,Lida,BY,53.8833,25.2997,44.98,93,75,7.74,broken clouds
142,Nome,US,64.5011,-165.4064,44.67,77,100,24.16,overcast clouds
143,Hermanus,ZA,-34.4187,19.2345,48.79,76,23,3.44,few clouds
144,Komsomolskoye,RU,55.2567,47.5461,55.24,98,100,6.55,overcast clouds
145,Palmer,US,42.1584,-72.3287,76.24,67,6,3.0,clear sky
146,Alice Springs,AU,-23.7,133.8833,45.95,66,2,0.0,clear sky
147,Meulaboh,ID,4.1363,96.1285,74.23,84,100,3.62,overcast clouds
148,Atar,MR,20.5169,-13.0499,96.31,32,13,11.63,few clouds
149,Tecpan,GT,14.7623,-90.9947,60.89,91,91,2.51,overcast clouds
150,Makakilo City,US,21.3469,-158.0858,86.32,62,40,11.5,scattered clouds
151,Kamenka,RU,51.3223,42.7678,51.6,80,99,3.24,overcast clouds
152,Singapore,SG,1.2897,103.8501,80.55,86,75,4.61,broken clouds
153,Ekhabi,RU,53.5102,142.9671,45.54,87,99,10.56,overcast clouds
154,Vila,PT,42.0304,-8.1588,60.69,72,0,1.16,clear sky
155,Qaanaaq,GL,77.484,-69.3632,29.41,75,100,5.68,overcast clouds
156,Port Hardy,CA,50.6996,-127.4199,57.38,72,40,3.44,scattered clouds
157,Gweru,ZW,-19.45,29.8167,64.94,66,92,12.15,overcast clouds
158,Beyneu,KZ,45.3167,55.2,70.48,22,0,10.74,clear sky
159,Hasaki,JP,35.7333,140.8333,63.28,63,100,18.54,overcast clouds
160,Labuhan,ID,-6.8844,112.2051,77.41,86,100,6.04,overcast clouds
161,Natal,BR,-5.795,-35.2094,82.62,74,20,14.97,few clouds
162,Sabaudia,IT,41.3003,13.0282,65.91,78,31,5.37,scattered clouds
163,Kavieng,PG,-2.5744,150.7967,81.52,71,99,2.35,overcast clouds
164,Clarence Town,AU,-32.5833,151.7833,61.86,95,100,12.77,moderate rain
165,Lyuban,BY,52.7985,28.0048,45.46,92,70,6.64,broken clouds
166,Souillac,MU,-20.5167,57.5167,71.98,83,75,10.36,broken clouds
167,Kalabo,ZM,-14.97,22.6814,71.47,24,6,6.93,clear sky
168,Kulykivka,UA,51.3735,31.6466,47.7,91,100,6.58,overcast clouds
169,Katsuura,JP,35.1333,140.3,69.01,70,100,19.73,overcast clouds
170,Athabasca,CA,54.7169,-113.2854,66.61,22,65,13.22,broken clouds
171,Lencois Paulista,BR,-22.5986,-48.8003,76.73,66,100,3.91,light rain
172,Christchurch,NZ,-43.5333,172.6333,53.33,81,67,0.0,broken clouds
173,Mugumu,TZ,-1.85,34.7,67.71,64,80,3.67,broken clouds
174,Darnah,LY,32.767,22.6367,76.77,81,24,11.97,few clouds
175,Bayir,TR,37.2687,28.2167,57.72,56,0,4.76,clear sky
176,Fort-Shevchenko,KZ,44.5086,50.263,74.16,42,0,9.62,clear sky
177,La Ronge,CA,55.1001,-105.2842,59.22,41,40,5.75,scattered clouds
178,Bethel,US,41.3712,-73.414,79.36,66,7,4.03,clear sky
179,Martapura,ID,-3.4167,114.85,73.49,100,100,2.3,overcast clouds
180,Turbat,PK,26.0023,63.044,79.83,74,1,5.68,clear sky
181,Panormos,GR,35.4182,24.6909,69.66,77,10,3.76,clear sky
182,Prado,BR,-17.3411,-39.2208,74.37,82,48,14.0,scattered clouds
183,Tiksi,RU,71.6872,128.8694,32.9,99,100,15.9,snow
184,Mar Del Plata,AR,-38.0023,-57.5575,57.09,81,0,11.5,clear sky
185,Weimar,DE,50.9833,11.3167,55.09,66,48,1.86,scattered clouds
186,Fairbanks,US,64.8378,-147.7164,48.22,80,99,1.61,overcast clouds
187,Urubicha,BO,-15.3833,-62.95,100.33,22,81,6.82,broken clouds
188,Tselinnoye,RU,53.0833,85.6667,51.03,64,81,3.87,broken clouds
189,Buraydah,SA,26.326,43.975,86.45,11,9,6.76,clear sky
190,Nizhniy Tsasuchey,RU,50.5167,115.1333,35.35,74,100,11.52,overcast clouds
191,Sao Filipe,CV,14.8961,-24.4956,78.82,77,27,11.83,scattered clouds
192,Sinjar,IQ,36.3209,41.8754,82.71,36,100,5.32,overcast clouds
193,Namibe,AO,-15.1961,12.1522,66.09,86,90,5.21,overcast clouds
194,Ilulissat,GL,69.2167,-51.1,28.92,79,50,7.78,scattered clouds
195,Qom,IR,34.6401,50.8764,81.25,24,4,1.39,clear sky
196,Kobayashi,JP,31.9833,130.9833,62.94,85,99,2.59,overcast clouds
197,Kaitangata,NZ,-46.2817,169.8464,48.43,77,21,2.59,few clouds
198,Tumut,AU,-35.3,148.2167,53.53,88,79,4.76,broken clouds
199,Rio Gallegos,AR,-51.6226,-69.2181,47.86,70,67,26.57,broken clouds
200,Antropovo,RU,58.3988,43.0066,46.11,86,97,6.33,overcast clouds
201,Wanning,CN,18.8003,110.3967,78.15,87,99,3.13,overcast clouds
202,Coquimbo,CL,-29.9533,-71.3436,64.13,51,0,18.41,clear sky
203,Port-Cartier,CA,50.0334,-66.8654,50.22,94,100,7.07,overcast clouds
204,Sitka,US,57.0531,-135.33,62.73,71,100,7.29,overcast clouds
205,Gimbi,ET,9.1667,35.8333,54.86,93,98,1.54,light rain
206,Kavaratti,IN,10.5669,72.642,80.87,74,0,10.67,clear sky
207,Yako,BF,12.9667,-2.2667,76.62,83,47,5.91,scattered clouds
208,Juneau,US,58.3019,-134.4197,56.1,98,100,4.52,overcast clouds
209,Yatou,CN,37.15,122.3833,59.9,73,0,8.93,clear sky
210,Manali,IN,13.1667,80.2667,84.29,68,62,11.36,broken clouds
211,Victoria,HK,22.2855,114.1577,82.45,76,99,8.99,overcast clouds
212,Labrea,BR,-7.2586,-64.7981,95.99,31,64,3.69,broken clouds
213,Nisia Floresta,BR,-6.0911,-35.2086,82.78,81,2,8.63,clear sky
214,Smidovich,RU,48.6,133.8167,45.86,86,41,8.12,scattered clouds
215,Torbay,CA,47.6666,-52.7314,56.28,80,75,13.8,broken clouds
